S.No,Disease,Symptoms,Treatment,Medicine,Treatment Duration,Medicine Duration
1033,Oral Fibrous Hyperplasia,Soft lump from irritation,Surgical removal,Ibuprofen (post-op),One-time,Few days post-op
1034,Traumatic Ulcer,Painful mouth sore,"Remove irritant, wound care",Acetaminophen,7–10 days,As needed
1035,Cheilitis Glandularis,"Swollen, ulcerated lips","Surgery, antibiotics","Amoxicillin, topical steroids",7–10 days,Oral + topical
1036,Tongue Papilloma,Small tongue growth,Surgical removal,No medicine,One-time,Not applicable
1037,Oral Lymphoma,"Swelling, non-healing ulcers","Chemotherapy, radiotherapy",CHOP regimen,Months,As prescribed
1038,Oral Granuloma,"Red, swollen oral lump",Surgical removal,No medicine,One-time,Not applicable
1039,Oral Ulcerative Stomatitis,Severe painful ulcers,Supportive care,Topical corticosteroids,1–2 weeks,Topical
1040,Geographic Tongue,Irregular red tongue patches,Symptomatic relief,Topical corticosteroids,As needed,Topical
1041,Oral Subcutaneous Emphysema,"Swelling, air under tissue",Usually self-limiting,Supportive care,Few days,Not applicable
1042,Parulis (Gum Boil),Swollen gum with pus,"Drainage, antibiotics",Amoxicillin,5–7 days,Oral
1043,Tongue Tie (Ankyloglossia),Restricted tongue movement,Surgical correction,Acetaminophen (post-op),One-time,Few days post-op
1044,Oral Manifestations of HIV,"Sores, candidiasis, dry mouth",Antiretroviral therapy,ART drugs,Lifelong,Daily
1045,Oral Mucosal Burns,"Burned mucosa, pain","Remove irritant, pain relief",Ibuprofen,Few days,As needed
1046,Oral Pemphigus,"Blisters, painful ulcers",Immunosuppressive therapy,"Prednisone, Azathioprine",Months–years,Daily
1047,Oral Mucosal Melanoma,Dark pigmented lesion,Surgical excision,Immunotherapy,Months,As prescribed
1048,Median Palatal Cyst,Mid-palate swelling,Surgical excision,No medicine,One-time,Not applicable
1049,Oral Angioedema,Rapid oral swelling,"Antihistamines, corticosteroids","Diphenhydramine, Prednisone",Few days,As needed
1050,Oral Tuberculosis,"Non-healing ulcers, swelling",Anti-tubercular therapy,"Isoniazid, Rifampicin",6–9 months,Daily
1051,Onychomycosis (Nail Fungus),"Thick, discolored nails",Antifungal therapy,"Terbinafine, Itraconazole",6–12 weeks,Daily
1052,Paronychia,"Red, swollen nail fold","Drainage, antibiotics",Amoxicillin-Clavulanate,5–7 days,Oral
1053,Psoriasis (Nail),"Pitting, discoloration",Topical/systemic therapy,"Clobetasol, Methotrexate",Weeks–months,Topical/oral
1054,Nail Trauma,"Pain, bleeding, bruising","Wound care, possible surgery",Ibuprofen,Few days,As needed
1055,Beau’s Lines,Horizontal nail grooves,Treat underlying cause,No specific medicine,Varies,Not applicable
1056,Onycholysis,Nail lifting from bed,"Avoid irritants, treat infection",Antifungal/antibacterial cream,1–3 weeks,Topical
1057,Clubbing,"Curved, swollen fingertips",Treat underlying disease,No direct treatment,Varies,Not applicable
1058,Ingrown Nail,"Painful, swollen nail edge","Nail surgery, antibiotics",Amoxicillin,5–7 days,Oral
1059,Nail Psoriasis,"Pitting, thickening",Topical/systemic therapy,"Calcipotriol, Methotrexate",Weeks–months,Topical/oral
1060,Onychogryphosis,"Thick, curved nail","Nail trimming, surgery",No medicine,Varies,Not applicable
1061,Lichen Planus (Nail),"Nail ridges, thinning",Corticosteroids,Clobetasol,Weeks–months,Topical
1062,Nail Melanoma,Dark nail streak,Surgical excision,No medicine,One-time,Not applicable
1063,Nail Psoriasis,"Crumbling, discoloration",Systemic and topical therapy,"Methotrexate, Cyclosporine",Months,Weekly
1064,Yellow Nail Syndrome,"Yellow nails, respiratory issues",Treat underlying cause,No specific medicine,Varies,Not applicable
1065,Nail Paronychia,"Infected, swollen nail fold","Drainage, antibiotics",Cephalexin,5–7 days,Oral
1066,Nail Eczema,"Itchy, inflamed nail folds",Topical steroids,"Hydrocortisone, Betamethasone",1–2 weeks,Topical
1067,Koilonychia (Spoon Nails),Spoon-shaped nails,Treat underlying anemia/disease,Iron supplements,Weeks–months,Daily
1068,Nail Psoriatic Arthritis,Nail pitting with joint pain,Systemic therapy,"Methotrexate, NSAIDs",Months–years,Weekly/oral
1069,Nail Tumors,Nail mass or growth,Surgical excision,No medicine,One-time,Not applicable
1070,Nail Biting (Onychophagia),Damaged nails and skin,Behavioral therapy,No medicine,Varies,Not applicable
1071,Subungual Hematoma,Blood under nail,Drainage,No medicine,One-time,Not applicable
1072,Nail Psoriasis,Nail deformation,Biologics and systemic drugs,"Adalimumab, Etanercept",Months,Injectable
1073,Onychorrhexis (Brittle Nails),Longitudinal nail ridges,"Avoid irritants, moisturizers",Biotin supplements,Weeks–months,Daily
1074,Subungual Exostosis,Bony growth under nail,Surgical removal,No medicine,One-time,Not applicable
1075,Nail Fold Infections,"Swollen, tender nail folds",Antibiotics,"Dicloxacillin, Cephalexin",5–7 days,Oral
1076,Periungual Warts,Wart around nail,"Cryotherapy, topical agents","Salicylic acid, Imiquimod",Weeks–months,Topical
1077,Nail Dystrophy,Nail malformation,Treat underlying cause,No medicine,Varies,Not applicable
1078,Nail Psoriasis,"Discoloration, separation",Phototherapy,UVB therapy,Weeks–months,As prescribed
1079,Nail Mycosis,"Discolored, brittle nails",Oral antifungals,"Terbinafine, Itraconazole",6–12 weeks,Daily
1080,Onychocryptosis (Ingrown Nail),"Red, painful nail edge","Surgery, antibiotics if infected",Amoxicillin,5–7 days,Oral
1081,Nail Abscess,Pus-filled swelling,Incision and drainage,Cephalexin,5–7 days,Oral
1082,Chronic Paronychia,Recurrent nail fold swelling,"Antifungal, steroids","Clotrimazole, Hydrocortisone",2–4 weeks,Topical
1083,Yellow Nail Syndrome,"Yellow nails, lymphatic swelling",Manage underlying condition,No medicine,Varies,Not applicable
1084,Nail Clubbing,"Enlarged fingertips, curved nails",Treat cardiopulmonary issues,No direct medicine,Varies,Not applicable
1085,Nail Pigmentation Disorders,Discolored streaks,Diagnose and treat cause,Depends on diagnosis,Varies,Varies
1086,Nail Bed Psoriasis,"Discoloration, thickening",Topical steroids,Betamethasone dipropionate,Weeks–months,Topical
1087,Nail Fold Eczema,"Red, itchy nail folds",Topical corticosteroids,"Hydrocortisone, Betamethasone",1–2 weeks,Topical
1088,Nail Bacterial Infections,"Swelling, redness",Antibiotics,"Dicloxacillin, Cephalexin",5–7 days,Oral
1089,Nail Fold Tumors,Mass near nail fold,Surgical excision,No medicine,One-time,Not applicable
1090,Nail Paronychia,"Tender, pus-filled nail fold",Antibiotics,Amoxicillin,5–7 days,Oral
1091,Nail Psoriasis,"Nail deformation, pain",Biologics,"Ustekinumab, Secukinumab",Months,Injectable
1092,Nail Pitting,Small dents in nail,Treat underlying psoriasis,Topical corticosteroids,Weeks,Topical
1093,Nail Trauma,"Pain, blood under nail","Wound care, surgery if needed","Ibuprofen, Acetaminophen",Few days–1 week,As needed
1094,Nail Discoloration,"Yellow, brown, or white nails",Treat underlying cause,Depends on cause,Varies,Varies
1095,Subungual Hematoma,Painful blood accumulation,Drainage if painful,None,One-time,Not applicable
1096,Nail Psoriasis (Severe),"Thickened, crumbling nails",Systemic therapy,"Methotrexate, Cyclosporine",Months,Weekly/oral
1097,Nail Fold Cysts,Fluid-filled lump,Surgical removal,None,One-time,Not applicable
1098,Nail Bed Melanoma,Dark spot or band on nail,Surgical excision,None,One-time,Not applicable
1099,Nail Hypertrophy,Thickened nails,Treat underlying cause,None,Varies,Not applicable
1100,Nail Bed Infection,"Swollen, red nail bed",Antibiotics,"Cephalexin, Dicloxacillin",5–7 days,Not applicable
1101,Athlete’s Foot (Tinea Pedis),"Itchy, scaly feet",Antifungal topical/oral treatment,"Terbinafine, Clotrimazole",2–4 weeks,Daily
1102,Plantar Warts,Rough bumps on soles,"Cryotherapy, salicylic acid","Salicylic acid, Imiquimod",Weeks–months,Topical daily
1103,Ingrown Toenail,"Pain, swelling at nail edge","Nail trimming, surgical removal",Antibiotics if infected,Varies,5–7 days if infected
1104,Onychomycosis (Toenail Fungus),"Thick, discolored toenails",Antifungal treatment,"Terbinafine, Itraconazole",6–12 weeks,Daily oral
1105,Corns and Calluses,Thickened skin patches,"Padding, debridement",None,Varies,Not applicable
1106,Foot Ulcers (Diabetic),Open wounds on feet,"Wound care, glycemic control",Antibiotics if infected,Weeks–months,If infected
1107,Blisters,Fluid-filled skin bubbles,"Protection, hygiene",None,Few days,Not applicable
1108,Heel Spurs,"Heel pain, stiffness","Pain relief, orthotics",NSAIDs (Ibuprofen),Weeks,As needed
1109,Gouty Tophi,Swollen joints with crystals,"Diet control, uric acid-lowering drugs","Allopurinol, Colchicine",Long-term,Daily
1110,Bunions (Hallux Valgus),Bony bump on big toe,"Footwear change, surgery",NSAIDs (Ibuprofen),Varies,As needed
1111,Plantar Fasciitis,"Heel pain, morning stiffness","Stretching, orthotics, NSAIDs",NSAIDs (Ibuprofen),Weeks,As needed
1112,Morton's Neuroma,"Foot pain, numbness","Shoe modification, corticosteroids",Corticosteroids,Weeks–months,Injection
1113,Flat Feet (Pes Planus),Foot arch collapse,"Supportive shoes, orthotics",None,Varies,Not applicable
1114,Achilles Tendinitis,Heel/back ankle pain,"Rest, ice, physical therapy",NSAIDs,Weeks,As needed
1115,Chilblains (Pernio),"Red, itchy toes/fingers","Keep warm, avoid cold",Topical corticosteroids,1–2 weeks,Topical
1116,Foot Corns,Painful thickened skin,"Padding, trimming, removal",None,Varies,Not applicable
1117,Tinea Pedis (Interdigital),Itchy skin between toes,Antifungal topical/oral treatment,"Terbinafine, Clotrimazole",2–4 weeks,Topical
1118,Heel Fissures,"Cracked, dry heels","Moisturizers, keratolytics",Urea cream,1–2 weeks,Topical
1119,Foot Eczema,"Red, itchy patches","Moisturizers, corticosteroids",Hydrocortisone cream,1–2 weeks,Topical
1120,Foot Cellulitis,"Red, swollen, warm skin",Antibiotics,"Cephalexin, Dicloxacillin",7–10 days,Oral
1121,Tinea Unguium,"Yellow, brittle nails",Antifungal systemic treatment,"Terbinafine, Itraconazole",6–12 weeks,Daily oral
1122,Verruca Plantaris,Painful wart under foot,"Cryotherapy, salicylic acid",Salicylic acid,Weeks–months,Topical
1123,Foot Psoriasis,"Scaly, red patches","Topical corticosteroids, vitamin D analogs","Calcipotriol, Betamethasone",Weeks–months,Topical
1124,Peripheral Arterial Disease,"Leg pain, cold foot","Lifestyle, vascular surgery",Cilostazol,Long-term,Daily oral
1125,Foot Gangrene,"Black, dead tissue","Debridement, surgery, antibiotics",Broad-spectrum antibiotics,Until resolution,IV/Oral
1126,Heel Bruise,Heel tenderness,"Rest, ice, NSAIDs",Ibuprofen,1–2 weeks,As needed
1127,Foot Burns,"Redness, pain, peeling","Cooling, pain relief, wound care",Analgesics,Days–weeks,As needed
1128,Foot Blisters,Fluid-filled bubbles,"Protection, hygiene",None,3–7 days,Not applicable
1129,Foot Rash,"Red, itchy or dry skin","Remove irritant, corticosteroids",Hydrocortisone cream,1–2 weeks,Topical
1130,Foot Lymphedema,Swelling in feet,"Compression therapy, physiotherapy",None,Ongoing,Not applicable
1131,Diabetic Neuropathy,"Numbness, burning in feet","Glycemic control, symptom management","Pregabalin, Gabapentin",Long-term,Daily oral
1132,Foot Pressure Sores,Skin breakdown,"Pressure relief, wound care",Antibiotics if infected,Weeks–months,If infected
1133,Foot Ulcer Infection,"Pus, odor, redness","Antibiotics, wound care",Amoxicillin-Clavulanate,7–14 days,Oral
1134,Foot Scabies,"Intense itch, burrows",Antiparasitic treatment,Permethrin cream,1–2 applications,Topical
1135,Tinea Pedis Vesicular Type,Blisters on foot,Antifungal topical/oral treatment,"Terbinafine, Ketoconazole",2–4 weeks,Topical/oral
1136,Foot Psoriasis Pustular Type,Pus-filled patches,Topical/systemic therapy,"Methotrexate, Acitretin",Weeks–months,Oral
1137,Foot Hyperhidrosis,Excessive sweating,"Antiperspirants, Botox",Aluminum chloride,Ongoing,Topical/injectable
1138,Foot Erythrasma,Red-brown toe patches,Topical antibiotics,Erythromycin,1–2 weeks,Topical/oral
1139,Foot Lichen Planus,"Flat, purple papules",Topical corticosteroids,Clobetasol propionate,Weeks,Topical
1140,Foot Candidiasis,"White patches, soreness",Antifungal treatment,"Fluconazole, Clotrimazole",1–2 weeks,Oral/topical
1141,Foot Contact Dermatitis,"Red, itchy rash","Avoid irritants, corticosteroids",Hydrocortisone cream,1–2 weeks,Topical
1142,Foot Eczema Varieties,"Dry, scaly, itchy skin","Moisturizers, corticosteroids","Betamethasone, Tacrolimus",Weeks,Topical
1143,Foot Seborrheic Dermatitis,"Greasy, flaky patches","Antifungal shampoo, corticosteroids",Ketoconazole,1–2 weeks,Topical
1144,Foot Psoriatic Arthritis,"Joint pain, swelling",Systemic anti-inflammatory treatment,"NSAIDs, Methotrexate",Months–years,Oral
1145,Foot Raynaud’s Phenomenon,"Cold, blue toes","Avoid cold, vasodilators",Nifedipine,Varies,Oral
1146,Foot Viral Infections,"Red, painful lesions",Supportive care,Acyclovir if needed,1–2 weeks,Oral if needed
1147,Foot Bacterial Infections,"Swelling, redness, pus",Antibiotics,"Amoxicillin, Cephalexin",7–10 days,Oral
1148,Foot Fungal Nail Infection,"Thickened, discolored nails",Systemic/topical antifungals,"Terbinafine, Ciclopirox",6–12 weeks,Oral/topical
1149,Foot Eczema Nummular,Coin-shaped lesions,"Topical corticosteroids, moisturizers",Triamcinolone,1–3 weeks,Topical
1150,Foot Hyperkeratosis,Thickened skin,"Keratolytics, moisturizers",Urea cream,Ongoing,Topical
1151,Cellulitis,"Red, swollen, painful skin","Antibiotics, wound care","Cephalexin, Dicloxacillin",7–14 days,7–10 days
1152,Varicose Veins,"Twisted, enlarged veins","Compression stockings, surgery",None,Ongoing,None
1153,Deep Vein Thrombosis (DVT),"Leg swelling, pain","Anticoagulation, compression therapy","Warfarin, Rivaroxaban",3–6 months,3–6 months
1154,Eczema,"Itchy, red, dry patches","Moisturizers, topical steroids","Hydrocortisone, Betamethasone",Ongoing,1–4 weeks (flare-up)
1155,Psoriasis,"Scaly, inflamed plaques","Topical steroids, phototherapy","Calcipotriol, Methotrexate",Ongoing,Long-term
1156,Lipodermatosclerosis,"Hard, red skin on legs","Compression therapy, skin care",None,Ongoing,None
1157,Peripheral Artery Disease,"Leg cramps, weak pulse","Lifestyle changes, vascular surgery",Cilostazol,Ongoing,3–6 months or more
1158,Leg Ulcers,Non-healing open sores,"Wound care, compression therapy",Antibiotics if infected,Weeks to months,7–14 days (if infected)
1159,Lipomas,"Soft, painless lumps",Surgical excision,None,One-time (surgery),None
1160,Lymphedema,Swollen legs or ankles,"Compression therapy, physiotherapy",None,Ongoing,None
1161,Thigh Strain,Sudden thigh pain,"Rest, ice, physical therapy",NSAIDs (Ibuprofen),1–3 weeks,3–5 days
1162,Shingles (Herpes Zoster),Painful rash with blisters,"Antiviral therapy, pain relief","Acyclovir, Gabapentin",1–2 weeks,7–10 days
1163,Folliculitis,Red pimples or pustules,"Antibacterial washes, antibiotics","Mupirocin, Clindamycin",7–10 days,5–7 days
1164,Hidradenitis Suppurativa,"Painful nodules, pus drainage","Antibiotics, surgery","Doxycycline, Clindamycin",Weeks to months,2–4 weeks
1165,Erythema Nodosum,"Red, tender nodules","NSAIDs, corticosteroids","Ibuprofen, Prednisone",2–6 weeks,1–3 weeks
1166,Lipedema,Fat buildup in legs,"Compression, liposuction",None,Ongoing,None
1167,Stasis Dermatitis,"Itchy, flaky skin on lower legs","Compression therapy, moisturizers",Topical corticosteroids,Ongoing,1–2 weeks (flare-up)
1168,Cellulite,"Dimpled, lumpy skin",Cosmetic treatments,None,Ongoing (cosmetic),None
1169,Leg Fractures,"Swelling, pain, immobility","Immobilization, surgery",Pain relief,6–12 weeks,3–10 days
1170,Bruises,Blue/purple skin discoloration,"Rest, ice, compression",None,3–7 days,None
1171,Contact Dermatitis,"Itchy, red rash","Avoid irritants, corticosteroids",Hydrocortisone,1–2 weeks,5–10 days
1172,Leg Burns,"Pain, redness, blisters","Cooling, wound care",Pain relief,1–3 weeks,3–7 days
1173,Venous Insufficiency,"Leg swelling, heaviness","Compression, lifestyle changes",None,Ongoing,None
1174,Sarcoidosis,"Red skin lesions, nodules","Corticosteroids, immunosuppressants",Prednisone,Months to years,Long-term
1175,Dermatitis Herpetiformis,Itchy blisters,"Gluten-free diet, dapsone",Dapsone,Ongoing,Long-term
1176,Leg Abscess,"Swollen, pus-filled lump","Incision and drainage, antibiotics","Clindamycin, Amoxicillin",1–2 weeks,7–10 days
1177,Cutaneous Lupus Erythematosus,"Red patches, sun sensitivity","Topical steroids, immunosuppressants",Hydroxychloroquine,Ongoing,Long-term
1178,Leg Psoriatic Arthritis,"Joint pain, swelling","NSAIDs, DMARDs","Methotrexate, Sulfasalazine",Ongoing,Long-term
1179,Bullous Pemphigoid,Blistering of skin,"Corticosteroids, immunosuppressants",Prednisone,Months to years,Long-term
1180,Necrobiosis Lipoidica,"Yellow-brown patches, thinning skin","Corticosteroids, wound care",Topical steroids,Weeks to months,2–4 weeks
1181,Leg Sarcoma,Lump or swelling,"Surgery, chemotherapy, radiation",Chemotherapy drugs,Months,3–6 months
1182,Leg Lymphedema,Chronic leg swelling,"Compression therapy, physiotherapy",None,Ongoing,None
1183,Leg Psoriasis Vulgaris,Red plaques with silvery scales,"Topical steroids, phototherapy","Betamethasone, Calcipotriol",Ongoing,Long-term
1184,Leg Cellulitis,"Pain, redness, warmth","Antibiotics, wound care","Cephalexin, Dicloxacillin",7–14 days,7–10 days
1185,Erythema Multiforme,Target-like skin lesions,"Supportive care, corticosteroids",Prednisone,2–4 weeks,7–14 days
1186,Leg Mycosis,"Itchy, flaky skin",Antifungal treatment,"Terbinafine, Itraconazole",2–4 weeks,2–4 weeks
1187,Leg Abscess (Repeat),Pus-filled swelling,"Incision and drainage, antibiotics","Clindamycin, Amoxicillin",1–2 weeks,7–10 days
1188,Leg Fungal Infection,"Scaling, itching",Antifungal topical/oral treatment,"Terbinafine, Clotrimazole",2–4 weeks,2–4 weeks
1189,Leg Urticaria,"Raised, itchy welts","Antihistamines, corticosteroids","Loratadine, Diphenhydramine",1–2 weeks,5–10 days
1190,Leg Scabies,"Intense itching, burrows",Antiparasitic creams,Permethrin cream,1 week (repeat if needed),1–2 applications
1191,Leg Vitiligo,White patches on skin,"Topical corticosteroids, phototherapy",Clobetasol,Months to years,6–12 weeks (cycles)
1192,Leg Lichen Planus,"Purple, flat bumps","Corticosteroids, immunosuppressants","Clobetasol, Tacrolimus",4–8 weeks,4–8 weeks
1193,Leg Psoriatic Arthritis (Repeat),Joint inflammation,"NSAIDs, DMARDs","Methotrexate, Sulfasalazine",Ongoing,Long-term
1194,Leg Angioma,Small red or purple lumps,"Laser therapy, surgery",None,One-time (if treated),None
1195,Leg Warts,"Rough, raised lesions","Cryotherapy, topical treatments","Salicylic acid, Imiquimod",2–8 weeks,2–4 weeks
1196,Leg Hemangioma,Red-blue raised lesion,"Observation, laser therapy",None,Variable,None
1197,Leg Erysipelas,"Painful, bright red swelling",Antibiotics,"Penicillin, Amoxicillin",10–14 days,7–10 days
1198,Leg Pityriasis Rosea,"Oval, scaly patches","Antihistamines, topical steroids","Hydrocortisone, Cetirizine",4–6 weeks,1–2 weeks
1199,Leg Herpes Zoster,Painful rash with blisters,"Antivirals, pain management","Acyclovir, Gabapentin",1–2 weeks,7–10 days
1200,Leg Angioedema,Swelling of skin layers,"Avoid triggers, antihistamines","Epinephrine, Diphenhydramine",1–3 days,1–3 days (acute phase)
1201,Acne Vulgaris,"Pimples, blackheads, oily skin","Topical retinoids, antibiotics","Tretinoin, Doxycycline",6–12 weeks,4–8 weeks
1202,Psoriasis,"Red, scaly patches","Topical corticosteroids, phototherapy","Betamethasone, Calcipotriol",Ongoing,Ongoing
1203,Eczema (Atopic Dermatitis),"Itchy, dry, inflamed skin","Moisturizers, corticosteroids","Hydrocortisone, Tacrolimus",Ongoing,2–4 weeks (as needed)
1204,Melanoma,Irregular dark mole/spot,"Surgical excision, immunotherapy","Nivolumab, Ipilimumab",Varies by stage,Per oncologist's plan
1205,Warts,Rough skin growths,"Cryotherapy, salicylic acid","Salicylic acid, Imiquimod",4–12 weeks,4–8 weeks
1206,Chickenpox,"Itchy blisters, fever","Symptomatic treatment, antivirals",Acyclovir,7–10 days,5–7 days
1207,Scabies,"Intense itching, burrows",Topical scabicides,"Permethrin, Ivermectin",1–2 weeks,1–2 doses (oral)
1208,Ringworm (Tinea),"Circular, itchy rashes",Antifungal creams,"Terbinafine, Clotrimazole",2–4 weeks,2–4 weeks
1209,Contact Dermatitis,"Red, itchy rash","Avoid allergens, corticosteroids","Hydrocortisone, Prednisolone",1–2 weeks,5–10 days
1210,Vitiligo,White skin patches,"Phototherapy, topical immunomodulators","Tacrolimus, Corticosteroids",Ongoing,Ongoing
1211,Hives (Urticaria),Raised itchy welts,Antihistamines,"Cetirizine, Loratadine",1–2 weeks,5–10 days
1212,Rosacea,"Facial redness, bumps","Topical metronidazole, oral antibiotics","Metronidazole, Doxycycline",8–12 weeks,4–8 weeks
1213,Cellulitis,"Swollen, red skin",Antibiotics,"Cephalexin, Clindamycin",7–14 days,7–10 days
1214,Boils (Furuncles),Painful lumps with pus,"Incision & drainage, antibiotics","Dicloxacillin, Clindamycin",7–10 days,5–7 days
1215,Abscess,Pus-filled swelling,"Drainage, antibiotics",Amoxicillin-clavulanate,7–10 days,5–7 days
1216,Seborrheic Dermatitis,"Flaky, greasy patches","Antifungal shampoos, corticosteroids","Ketoconazole, Hydrocortisone",Ongoing,2–4 weeks
1217,Blepharitis,"Red, itchy eyelids","Eyelid hygiene, antibiotics",Azithromycin eye ointment,2–4 weeks,2–3 weeks
1218,Chalazion,Eyelid bump,"Warm compresses, corticosteroid injections",Triamcinolone acetonide,2–4 weeks,Single dose (if injected)
1219,Herpes Simplex,Painful blisters,Antiviral therapy,"Acyclovir, Valacyclovir",5–10 days,5–7 days
1220,Oral Thrush,White patches in mouth,Antifungal medication,"Nystatin, Fluconazole",7–14 days,7–10 days
1221,Cold Sores,"Tingling, painful blisters",Antiviral creams,"Acyclovir, Penciclovir",5–7 days,5–7 days
1222,Head Lice,Itchy scalp,"Pediculicides, manual removal","Permethrin, Malathion",1–2 treatments,"Single dose, repeat in 7 days"
1223,Alopecia Areata,Sudden hair loss,"Corticosteroids, immunotherapy","Triamcinolone, Minoxidil",Ongoing,Ongoing
1224,Burns,"Redness, blistering","Wound care, pain relief",Silver sulfadiazine,Depends on severity,Daily until healed
1225,Nail Fungus (Onychomycosis),"Discolored, thick nails",Antifungal therapy,"Terbinafine, Ciclopirox",6–12 weeks,6–12 weeks
1226,Athlete's Foot (Tinea Pedis),"Peeling, itchy feet",Antifungal creams,"Terbinafine, Clotrimazole",2–4 weeks,2–4 weeks
1227,Scalp Psoriasis,"Flaky scalp, redness","Topical corticosteroids, coal tar","Betamethasone, Salicylic acid",Ongoing,2–4 weeks intermittently
1228,Lichen Planus,"Flat, purple bumps","Corticosteroids, antihistamines","Clobetasol, Hydroxyzine",2–6 weeks,2–4 weeks
1229,Cutaneous Candidiasis,Red rash with satellite lesions,Antifungal creams,"Clotrimazole, Nystatin",1–2 weeks,7–14 days
1230,Impetigo,Honey-colored crusts,Topical/systemic antibiotics,"Mupirocin, Cephalexin",5–10 days,5–7 days
1231,Tinea Versicolor,Discolored patches,Antifungal lotions,"Selenium sulfide, Ketoconazole",2–4 weeks,2–4 weeks
1232,Molluscum Contagiosum,"Small, pearly papules","Cryotherapy, curettage",None (usually self-limiting),2–4 weeks,Not applicable
1233,Dermatofibroma,Firm brownish bump,Surgical excision,None,One-time,Not applicable
1234,Actinic Keratosis,"Rough, scaly skin patch","Cryotherapy, topical agents","5-Fluorouracil, Imiquimod",2–6 weeks,2–6 weeks
1235,Basal Cell Carcinoma,Pearly bump or ulcer,"Surgical removal, topical therapy","Imiquimod, Vismodegib",Per case,Per oncologist
1236,Squamous Cell Carcinoma,"Scaly red patch, crusted nodule",Surgical excision,None,One-time,Not applicable
1237,Keloid,Raised scar,"Corticosteroid injections, surgery",Triamcinolone,Several weeks,Weekly injections
1238,Dermatographism,Raised red lines after scratching,Antihistamines,"Loratadine, Cetirizine",Ongoing,As needed
1239,Sebaceous Cyst,"Painless, movable lump",Surgical excision,None,One-time,Not applicable
1240,Lymphangioma,"Soft, spongy swelling",Surgical removal,None,One-time,Not applicable
1241,Xerosis (Dry skin),"Dry, rough skin",Moisturizers,Emollients,Ongoing,Ongoing
1242,Keratosis Pilaris,Bumpy skin on arms/thighs,"Exfoliation, moisturizers","Urea cream, Lactic acid",Ongoing,Ongoing
1243,Erythema Multiforme,Target-like lesions,"Treat underlying cause, corticosteroids",Prednisone,1–3 weeks,5–10 days
1244,Dermatitis Herpetiformis,"Itchy blisters on elbows, knees","Gluten-free diet, dapsone",Dapsone,Ongoing,Long term
1245,Photosensitivity,Sun-induced rashes or burns,"Avoid sun exposure, sunscreens",Broad spectrum sunscreen,Ongoing,Ongoing
1246,Porphyria Cutanea Tarda,"Fragile skin, blisters","Phlebotomy, avoid triggers",Hydroxychloroquine,Long term,6–12 months
1247,Toxic Epidermal Necrolysis,"Skin peeling, high fever","Hospitalization, supportive care","IV Immunoglobulin, Steroids",Until stable,7–14 days
1248,Pemphigus Vulgaris,Painful blisters,Immunosuppressants,"Prednisone, Azathioprine",Long term,Long term
1249,Bullous Pemphigoid,"Large, fluid-filled blisters","Corticosteroids, immunosuppressants","Prednisone, Methotrexate",Long term,Long term
1250,Cutaneous Lupus,Red scaly rash,"Sun protection, corticosteroids",Hydroxychloroquine,Ongoing,Long term
1251,Acidity,"Heartburn, bloating, nausea","Avoid spicy foods, antacids","Omeprazole, Ranitidine",1–2 weeks,5–10 days
1252,Common Cold,"Sneezing, sore throat, runny nose","Rest, hydration","Paracetamol, Antihistamines",3–7 days,3–5 days
1253,Headache,"Throbbing pain, nausea, light sensitivity","Pain relievers, rest","Ibuprofen, Paracetamol",1–3 days,As needed
1254,Constipation,"Hard stools, straining, infrequent stools","High fiber diet, laxatives","Lactulose, Isabgol",3–7 days,As needed
1255,Cough,"Dry or productive cough, throat irritation","Hydration, cough suppressants","Dextromethorphan, Ambroxol",3–7 days,3–5 days
1256,Diarrhea,"Loose stools, dehydration, cramps","ORS, diet control","Loperamide, ORS sachets",1–3 days,As needed
1257,Fever,"High temperature, fatigue, chills","Antipyretics, rest","Paracetamol, Ibuprofen",2–5 days,3–5 days
1258,Sore Throat,"Painful swallowing, irritation","Warm fluids, throat lozenges",Azithromycin (if bacterial),3–5 days,3 days (Azithromycin)
1259,Body Pain,"Muscle ache, fatigue","Pain relief, rest","Ibuprofen, Paracetamol",1–3 days,As needed
1260,Nausea,"Vomiting sensation, dizziness","Anti-emetics, hydration","Ondansetron, Domperidone",1–2 days,1–3 days
1261,Gas/Bloating,"Abdominal discomfort, belching","Antacids, avoid gas-producing foods","Simethicone, Pantoprazole",2–5 days,3–5 days
1262,Indigestion,"Bloating, discomfort after eating","Antacids, small meals","Pantoprazole, Digene",3–5 days,3–7 days
1263,Back Pain,"Lower back ache, stiffness","Physiotherapy, rest","Diclofenac, Ibuprofen",3–7 days,3–5 days
1264,Muscle Cramp,"Sudden pain, stiffness","Massage, hydration","Magnesium, Pain gel",1–3 days,As needed
1265,Toothache,"Throbbing pain, gum swelling","Dental cleaning, painkillers","Clove oil, Ibuprofen",Until resolved,2–3 days
1266,Acne,"Pimples, redness, oily skin","Cleansing, ointments","Benzoyl peroxide, Salicylic acid",4–8 weeks,Ongoing or intermittent
1267,Dandruff,"Itchy scalp, flakes",Anti-dandruff shampoo,"Ketoconazole, Zinc pyrithione",2–4 weeks,2–3 weeks
1268,Mouth Ulcers,Painful sores in mouth,"Oral gel, avoid spicy food","Benzocaine gel, Chlorhexidine",3–7 days,3–5 days
